Death,,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Meningitis,,1241573,1270857,1314269,1376971,1414744,1482088,1532431,1587529,1653055,1726638,1780584,1816876,1866011,1900683,1919251,1928879,1960712,1982423,2027667,2063739,2089162,2111071,2155338,2242353,2354803,2331978,2314816,2280474,2238561,2212407
Alzheimers,,10141876,9813596,9452045,9098828,8750051,8432805,8131882,7841297,7553468,7270732,6979354,6704657,6434009,6184401,5954832,5725649,5525862,5329136,5133522,4958160,4802206,4659756,4526334,4397229,3527668,3672556,3818192,3970130,4114523,4259451
Parkinsons,,2237101,2167678,2094312,2042856,1989260,1934760,1877650,1814371,1760573,1708849,1657082,1611788,1550473,1502393,1463786,1409367,1376655,1331070,1276829,1229240,1186319,1146124,1110110,1075854,912493,935276,959441,992234,1017215,1045252
Nutritional deficiencies,,1385562,1419063,1466358,1497371,1528181,1558371,1595839,1631018,1712147,1752939,1758732,1826534,1888543,1969205,2045480,2140307,2269531,2786217,2924703,3068055,3208493,3362642,3517494,3653961,4189623,4034113,3869196,3718012,3578215,3927556
Malaria,,3250790,3193044,3179371,3337800,3566335,3669411,3793809,4078027,4412701,4616228,4651419,4729669,4772551,4784573,4777214,4885032,4879047,4728796,4640096,4483813,4560689,4620970,4590020,4489405,4373799,4465232,4443734,4461759,4417401,4444881
Drowning,,1360083,1377703,1385255,1425124,1456364,1481707,1529864,1580195,1610892,1665555,1698321,1742711,1781738,1827848,1901762,1933402,1985932,2067593,2148005,2215098,2270102,2327961,2362157,2418532,2640948,2605597,2561624,2551987,2538674,2501603
Interpersonal violence,,2355456,2383056,2373928,2343105,2356703,2339263,2353358,2367581,2351395,2371725,2399893,2402618,2386220,2432739,2485058,2511323,2546622,2628306,2570181,2565573,2515872,2470653,2447364,2481181,2158404,2217506,2345413,2491937,2546957,2555287
Maternal disorders,,1039861,1049215,1054101,1079407,1105657,1141876,1191758,1212979,1256349,1286308,1311993,1334340,1361367,1401346,1431900,1438217,1464059,1506878,1546124,1574584,1586414,1589276,1590268,1579819,1672687,1649155,1652840,1617577,1613564,1596579
HIV/AIDS,,4613902,4771438,5064869,5322250,5488747,5712065,5994515,6382446,6845368,7285531,7766347,8334064,8906713,9411384,9727635,9759485,9550151,9194740,8724429,8159039,7509765,6774501,6096781,5545375,1782266,2278159,2848338,3498326,4208727,4928790
Drug use,,833990,801612,770900,733765,681838,639440,606634,581517,569553,559866,552312,551167,543334,539193,534946,514077,515030,528029,541595,554268,538814,523596,507177,500820,343382,378610,408787,438126,469553,489713
Tuberculosis,,6501720,6644796,6790435,6884830,6984358,7144604,7220002,7277806,7348677,7534518,7762547,8002768,8125827,8288419,8476911,8618517,8928320,9142717,9331317,9516787,9547231,9576433,9586462,9551632,9930109,9987316,10105110,9897314,9760709,9659878
Cardiovascular diseases,,109968781,107351047,104792518,103119510,101314000,99163807,97867969,96441492,95227215,94043681,92395649,91545798,89910481,89231086,89340121,87947887,87905806,86760916,84975413,83706310,82431609,80977919,80300365,79615260,73317489,74181382,75357893,77444663,78663693,79194696
